Owner,total_capacity,number_of_plants,number_of_countries,number_of_regions,avg_litpop_value_usd,largest_plant,Latitude,Longitude
Hebei Xinjin Iron and Steel Co Ltd,3300.0,1,1,1,6917400988.421546,Hebei Xinjin Iron and Steel Co Ltd,36.715632,114.208992
Yangzhou Hengrun Ocean Heavy Industry Co Ltd,3300.0,1,1,1,1835372768.9161925,Yangzhou Hengrun Ocean Heavy Industry Co Ltd,32.249602,119.620438
Golgohar Iron and Steel Development Co,3300.0,1,1,1,,Golgohar Iron and Steel Company Kerman,29.134614,55.360773
Voestalpine Stahl Donawitz GmbH,3270.0,1,1,1,,Voestalpine Stahl Donawitz steel plant,47.380455,15.065182
Zhenshi Group EASTERN SPECIAL Steel Co Ltd,3212.0,1,1,1,2908351559.15047,Zhenshi Group Eastern Special Steel Co Ltd,30.720411,120.898518
Egyptian Iron & Steel Co,3200.0,1,1,1,,Egyptian Iron & Steel Company Cairo plant,29.774458,31.312013
Guangxi Deyuan Metallurgy Co Ltd,3200.0,2,1,1,271821385.1967023,Guangxi Deyuan Metallurgy Co Ltd (Nayangdaqiao),22.712996,109.33725
Megasteel Sdn Bhd,3200.0,1,1,1,,Lion Industries Megasteel plant,2.8072653,101.6055808
Hebei New Wuan Iron and Steel Group Xin Hui Metallurgy Co Ltd,3185.0,1,1,1,1570133414.6514165,Hebei Xinwuan Iron and Steel Group Xinhui Metallurgy Co Ltd,36.664097,114.115263
Nucor Yamato Steel Co,3174.0,1,1,1,,Nucor-Yamato Steel Blytheville plant,35.941421,-89.713819
Nghi Son VAS Group JSC,3150.0,1,1,1,,VAS Nghi Son Cast Iron and Steel plant,19.326924,105.777449
Izmir Demir Celik Sanayi AŞ,3100.0,1,1,1,,İDÇ Izdemir Aliaga steel plant,38.739596,26.929091
Nucor Steel Decatur LLC,3100.0,1,1,1,,Nucor Steel Decatur plant,34.63963,-87.085738
Xinjiang Bayi Steel Southern Xinjiang Steel Baicheng Co Ltd,3100.0,1,1,1,,China Baowu Phnom Penh steel plant,11.56703,104.863893
Tangshan Xinglong Steel Co Ltd,3075.0,1,1,1,178134743.02966222,Tangshan Xinglong Iron and Steel Co Ltd,39.847612,118.348448
Zhuhai Yueyufeng IRON&STEEL Co Ltd,3051.0,1,1,1,2524762539.6796427,Zhuhai Yueyufeng Iron and Steel Co Ltd,21.96092,113.198718
Shaanxi Lueyang Iron and Steel Co Ltd,3050.0,1,1,1,32314098.785076372,Shaanxi Lueyang Iron and Steel Co Ltd,33.323678,106.167206
Henan Angang Zhoukou Iron and Steel Co Ltd,3050.0,1,1,1,1216482444.7504897,Henan Angang Zhoukou Iron and Steel Co Ltd,33.364534,115.099661
Daric Investment Holding Co,3050.0,4,1,1,,Shams Iron and Steel Complex Tabriz,37.446675,45.956891
Hebei Tianzhu Iron and Steel Group Special Steel Co Ltd,3034.0,1,1,1,658638310.9064554,Hebei Tianzhu Iron and Steel Group Co Ltd,39.270032,119.01376
North Star BlueScope Steel Ltd,3034.0,1,1,1,,BlueScope North Star Steel plant,41.568783,-84.048129
Gerdau Acos Longos SA,3026.0,4,1,1,,Gerdau São Paulo Araçariguama steel plant,-23.43864,-47.08825
Qinhuangdao Baigong Steel Co Ltd,3010.0,1,1,1,1644959560.7920702,Qinhuangdao Baigong Steel Co Ltd,39.748773,118.819472
Nanyang Hanye SPECIAL STREET Co Ltd,3000.0,1,1,1,313551485.3556643,Nanyang Hanye Special Steel Co Ltd,33.269324,111.534635
Weifang SPECIAL Steel Group Co Ltd,3000.0,1,1,1,3368126297.6347632,Weifang Special Steel Group Co Ltd,36.644469,119.238427
Vulcan Green Steel LLC,3000.0,1,1,1,,Vulcan Green Steel Nigeria plant,9.082,8.6753
Qian'an Zhayi Steel Group Co Ltd,3000.0,1,1,1,722897426.2393645,Qian an Zhayi Steel Group Co Ltd,40.044026,118.552001
unknown,3000.0,2,2,1,,Chan May green steel plant,16.3354,108.0248
Amurstal LLC,3000.0,1,1,1,,Amurstal steel plant,50.563131,136.976362
Abba Steel Ltd,3000.0,1,1,1,,Abba Steel Ohangwena steel plant,-17.397866,15.891022
Lianyungang Yaxin Iron and Steel Co Ltd,3000.0,1,1,1,890142435.6329616,Lianyungang Yaxin Iron and Steel Co Ltd,34.423786,119.778311
Shanxi Xintai Iron & Steel Co Ltd,3000.0,1,1,1,4334687658.950084,Shanxi Xintai Iron and Steel Co Ltd,37.075017,111.985148
Tianjin Pipe Corp,3000.0,1,1,1,7120436820.791538,Tianjin Pipe Corporation,39.034002,117.486798
Tianjin Metallurgy Group Zhasan Steel Co Ltd,3000.0,1,1,1,805190129.0529438,Tianjin Metallurgy Group Zhasan Steel Co Ltd,38.825269,117.08849
Anhui Shoukuang Dachang Metal Material Co Ltd,3000.0,1,1,1,26192474.427464876,Anhui Shoukuang Dachang Metal Material Co Ltd,32.329171,115.954963
Makran Steel Co,3000.0,1,1,1,,Makran Steel Sistan and Baluchestan Complex,25.4483977,60.6408488
Shangang Group Hanzhong Iron & Steel Co Ltd,3000.0,1,1,1,686629951.6960833,Shaanxi Steel Group Hanzhong Iron and Steel Co Ltd,33.133192,106.671859
Jiangsu Jingye Iron and Steel Co Ltd,3000.0,1,1,1,1557019273.7154286,Jiangsu Jingye Iron and Steel Co Ltd,34.38381,119.786878
Tangshan Guotang Steel Co Ltd,3000.0,1,1,1,658638310.9064554,Tangshan Guotang Steel Co Ltd,39.293147,119.046972
Bhushan Power & Steel Ltd,3000.0,1,1,1,113645399.55906004,JSW BPSL Jharkhand steel plant,22.665526,85.64622
Metinvest Adria SpA,3000.0,1,1,1,,Metinvest Piombino steel plant,42.93652,10.537794
Setareh Simin Hormoz Co,3000.0,1,1,1,,Setareh Simin Hormoz DRI plant,27.192922,56.114617
Qeshm Steel Development Co,3000.0,1,1,1,,Qeshm Steel Development Hormuzgan plant,26.826494,55.957708
Fujian Tsingtuo Nickel Industry Co Ltd,3000.0,1,1,1,11794218.386546498,Fujian Tsingtuo Nickel Industry Co Ltd,26.768925,119.765203
KISCO Corp,3000.0,1,1,1,,KISCO steel Changwon plant,35.216552,128.640158
BMZ-Upravlyayushchaya Kompaniya Kholdinga BMK JSC,3000.0,1,1,1,,Byelorussian Steel Works,52.849321,29.988985
AM/NS Calvert LLC,3000.0,1,1,1,,ArcelorMittal Calvert steel plant,31.148446,-87.990521
Pakistan Steel Mills Corp Pvt Ltd,3000.0,1,1,1,,Pakistan Steel Mills Karachi,24.809977,67.35244
Jinding Heavy Industries Co Ltd,3000.0,1,1,1,2791499561.2492723,Jinding Heavy Industry Co Ltd,36.718952,114.111677
Lengshuijiang Iron and Steel Co Ltd,3000.0,1,1,1,982323572.5654914,Lengshuijiang Steel Co Ltd,27.690401,111.437288
DELONG Steel Ltd,3000.0,1,1,1,676290293.567939,Delong Steel Co Ltd,37.086116,114.384832
"Sichuan De Sheng Group, Vanadium and Titanium Co Ltd",3000.0,1,1,1,181895609.9521647,Sichuan Desheng Group Vanadium and Titanium Co Ltd,29.39798,103.542532
JSW Rayalaseema Steel Limited,3000.0,1,1,1,45263087.15252942,JSW Rayalseema steel plant,14.76855,78.403263
Egyptian Sponge Iron & Steel Company SAE,3000.0,1,1,1,,Egyptian Sponge Iron and Steel Company Sadat City plant,30.393079,30.58773
Tangshan Xinbaotai Iron & Steel Co Ltd,3000.0,1,1,1,597616844.3023248,Tangshan Xinbaotai Iron and Steel Co Ltd,39.861425,118.03667
Wuan Mingfang Iron & Steel Co Ltd,2999.0,1,1,1,6917400988.421546,Wu an Mingfang Iron and Steel Co Ltd,36.710754,114.207855
Shanxi Changxin Industry Co Ltd,2995.0,1,1,1,2719454994.077153,Shanxi Changxin Industrial Co Ltd,36.326589,113.117181
Jishan Mingfu Steel Products Co Ltd,2953.0,1,1,1,245177255.62792537,Jishan Mingfu Steel Products Co Ltd,35.665945,111.025976
Tung Ho Steel Enterprise Corp,2900.0,3,1,1,,Tung Ho Steel Miaoli plant,24.568401,120.74062
GV do Brasil Industria e Comercio de Aço Ltda,2900.0,2,1,1,,Simec Cariacica steel plant,-20.34291,-40.360864
Al Ezz Flat Steel Company SAE,2880.0,1,1,1,,Ezz Flat Steel Ain Sokhna plant,29.692045,32.322117
Godawari Power and Ispat Ltd,2859.0,2,1,1,919900210.3246052,Godawari Power and Ispat Sarora steel plant,21.565032,81.739447
Heyuan Derun Steel Co Ltd,2850.0,2,1,1,5199836757.785021,Heyuan Derun Steel Co Ltd LanTang Industrial Park,23.39775,114.898646
Shandong Shouguang Juneng SPECIAL Steel Co Ltd,2850.0,1,1,1,1440684200.7685635,Shandong Shouguang Juneng Special Steel Co Ltd,36.939125,118.785598
